Radius: 20.0, VelZ=3.005, velX=-1.55, velY=-1.27
Radius: 20.0, VelZ=2.45, velX=-1.55, velY=-1.27
Radius: 20.0, VelZ=5.725, velX=-1.55, velY=-1.27
Radius: 20.0, VelZ=7.38, velX=-1.55, velY=-1.27
Radius: 61.0, VelZ=3.84, velX=0.52, velY=0.43
Radius: 61.0, VelZ=3.25, velX=0.52, velY=0.43
Radius: 61.0, VelZ=4.74, velX=0.52, velY=0.43
Radius: 61.0, VelZ=5.83, velX=0.52, velY=0.42
Radius: 28.0, VelZ=2.25, velX=0.52, velY=0.42
Radius: 68.0, VelZ=4.05, velX=0.52, velY=0.42
Radius: 68.0, VelZ=3.46, velX=0.52, velY=0.42
Radius: 68.0, VelZ=5.3149999999999995, velX=0.52, velY=0.42
Radius: 68.0, VelZ=6.52, velX=0.52, velY=0.43
Radius: 54.0, VelZ=2.36, velX=0.51, velY=0.42
Radius: 61.0, VelZ=4.84, velX=-1.55, velY=-1.27
Radius: 14.0, VelZ=4.449999999999999, velX=-1.55, velY=-1.27
Radius: 5.0, VelZ=4.095, velX=0.52, velY=0.42
Radius: 49.0, VelZ=2.995, velX=0.52, velY=0.42
Radius: 61.0, VelZ=4.575, velX=-1.55, velY=-1.27
Radius: 5.0, VelZ=7.655, velX=0.52, velY=0.43
Radius: 16.0, VelZ=2.105, velX=-1.55, velY=-1.27
Radius: 16.0, VelZ=1.74, velX=-1.55, velY=-1.27
Radius: 16.0, VelZ=4.82, velX=-1.55, velY=-1.27
Radius: 16.0, VelZ=6.21, velX=-1.55, velY=-1.27
Radius: 52.0, VelZ=2.855, velX=-1.55, velY=-1.27
Radius: 52.0, VelZ=2.3449999999999998, velX=-1.55, velY=-1.27
Radius: 52.0, VelZ=5.6850000000000005, velX=-1.55, velY=-1.27
Radius: 52.0, VelZ=7.31, velX=-1.55, velY=-1.27
Radius: 52.0, VelZ=7.31, velX=-1.55, velY=-1.27
Radius: 44.0, VelZ=5.935, velX=0.52, velY=0.42
Radius: 10.0, VelZ=4.83, velX=0.52, velY=0.42
Radius: 67.0, VelZ=2.085, velX=-1.55, velY=-1.27
Radius: 33.0, VelZ=4.74, velX=-1.55, velY=-1.27
Radius: 43.0, VelZ=3.3200000000000003, velX=-1.55, velY=-1.27
Radius: 44.0, VelZ=3.185, velX=0.52, velY=0.43
Radius: 42.0, VelZ=5.76, velX=0.52, velY=0.42
Radius: 24.0, VelZ=5.390000000000001, velX=0.52, velY=0.43
Radius: 68.0, VelZ=3.795, velX=0.52, velY=0.42
Radius: 68.0, VelZ=3.21, velX=0.52, velY=0.42
Radius: 68.0, VelZ=4.715, velX=0.52, velY=0.42
Radius: 12.0, VelZ=2.74, velX=-1.55, velY=-1.27
Radius: 12.0, VelZ=2.235, velX=-1.55, velY=-1.27
Radius: 12.0, VelZ=5.4350000000000005, velX=-1.55, velY=-1.27
Radius: 45.0, VelZ=4.08, velX=-1.55, velY=-1.27
Radius: 12.0, VelZ=7.005, velX=-1.55, velY=-1.27
