Frame 0: X=822, Y=793, Radius=43, VelocityVer=3.56, VelocityHor=-0.42, DetectionNum=0
Frame 1: X=751, Y=1192, Radius=43, VelocityVer=3.56, VelocityHor=-0.42, DetectionNum=0
Frame 2: X=679, Y=1589, Radius=43, VelocityVer=3.56, VelocityHor=-0.42, DetectionNum=0
Frame 32: X=595, Y=452, Radius=20, VelocityVer=3.37, VelocityHor=-0.42, DetectionNum=1
Frame 33: X=523, Y=905, Radius=20, VelocityVer=3.37, VelocityHor=-0.42, DetectionNum=1
Frame 34: X=451, Y=1357, Radius=20, VelocityVer=3.37, VelocityHor=-0.42, DetectionNum=1
Frame 32: X=595, Y=452, Radius=20, VelocityVer=2.81, VelocityHor=-0.42, DetectionNum=2
Frame 33: X=523, Y=905, Radius=20, VelocityVer=2.81, VelocityHor=-0.42, DetectionNum=2
Frame 35: X=379, Y=1810, Radius=20, VelocityVer=2.81, VelocityHor=-0.42, DetectionNum=2
Frame 32: X=595, Y=452, Radius=20, VelocityVer=5.13, VelocityHor=-0.42, DetectionNum=3
Frame 34: X=451, Y=1357, Radius=20, VelocityVer=5.13, VelocityHor=-0.42, DetectionNum=3
Frame 35: X=379, Y=1810, Radius=20, VelocityVer=5.13, VelocityHor=-0.42, DetectionNum=3
Frame 32: X=936, Y=432, Radius=60, VelocityVer=1.06, VelocityHor=-0.42, DetectionNum=4
Frame 33: X=864, Y=864, Radius=60, VelocityVer=1.06, VelocityHor=-0.42, DetectionNum=4
Frame 34: X=792, Y=1297, Radius=60, VelocityVer=1.06, VelocityHor=-0.42, DetectionNum=4
Frame 32: X=936, Y=432, Radius=60, VelocityVer=1.06, VelocityHor=-0.43, DetectionNum=5
Frame 33: X=864, Y=864, Radius=60, VelocityVer=1.06, VelocityHor=-0.43, DetectionNum=5
Frame 35: X=719, Y=1728, Radius=60, VelocityVer=1.06, VelocityHor=-0.43, DetectionNum=5
Frame 32: X=936, Y=432, Radius=60, VelocityVer=3.29, VelocityHor=-0.43, DetectionNum=6
Frame 34: X=792, Y=1297, Radius=60, VelocityVer=3.29, VelocityHor=-0.43, DetectionNum=6
Frame 35: X=719, Y=1728, Radius=60, VelocityVer=3.29, VelocityHor=-0.43, DetectionNum=6
Frame 33: X=523, Y=905, Radius=20, VelocityVer=6.47, VelocityHor=-0.42, DetectionNum=7
Frame 34: X=451, Y=1357, Radius=20, VelocityVer=6.47, VelocityHor=-0.42, DetectionNum=7
Frame 35: X=379, Y=1810, Radius=20, VelocityVer=6.47, VelocityHor=-0.42, DetectionNum=7
Frame 33: X=864, Y=864, Radius=60, VelocityVer=4.04, VelocityHor=-0.43, DetectionNum=8
Frame 34: X=792, Y=1297, Radius=60, VelocityVer=4.04, VelocityHor=-0.43, DetectionNum=8
Frame 35: X=719, Y=1728, Radius=60, VelocityVer=4.04, VelocityHor=-0.43, DetectionNum=8
Frame 36: X=622, Y=463, Radius=27, VelocityVer=3.39, VelocityHor=-0.42, DetectionNum=9
Frame 37: X=551, Y=929, Radius=27, VelocityVer=3.39, VelocityHor=-0.42, DetectionNum=9
Frame 38: X=479, Y=1393, Radius=27, VelocityVer=3.39, VelocityHor=-0.42, DetectionNum=9
