Frame 0: X=722, Y=1768, Radius=154
Frame 0: X=943, Y=1748, Radius=15
Frame 0: X=708, Y=1740, Radius=28
Frame 0: X=575, Y=1738, Radius=27
Frame 0: X=641, Y=1738, Radius=37
Frame 0: X=342, Y=1739, Radius=13
Frame 0: X=239, Y=1726, Radius=11
Frame 0: X=1020, Y=1713, Radius=16
Frame 0: X=288, Y=1710, Radius=49
Frame 0: X=932, Y=1705, Radius=18
Frame 0: X=1016, Y=1685, Radius=18
Frame 0: X=87, Y=1672, Radius=18
Frame 0: X=259, Y=1670, Radius=17
Frame 0: X=93, Y=1690, Radius=48
Frame 0: X=271, Y=1660, Radius=24
Frame 0: X=296, Y=1623, Radius=30
Frame 0: X=952, Y=1673, Radius=64
Frame 0: X=1031, Y=1590, Radius=16
Frame 0: X=51, Y=1665, Radius=91
Frame 0: X=1030, Y=1582, Radius=48
Frame 0: X=1027, Y=1661, Radius=103
Frame 0: X=855, Y=1586, Radius=37
Frame 0: X=47, Y=1566, Radius=22
Frame 0: X=964, Y=1642, Radius=103
Frame 0: X=1006, Y=1513, Radius=9
Frame 0: X=143, Y=1521, Radius=24
Frame 0: X=307, Y=1496, Radius=30
Frame 0: X=55, Y=1492, Radius=22
Frame 0: X=59, Y=1543, Radius=84
Frame 0: X=1047, Y=1470, Radius=32
Frame 0: X=62, Y=1480, Radius=35
Frame 0: X=151, Y=1448, Radius=12
Frame 0: X=272, Y=1454, Radius=28
Frame 0: X=867, Y=1414, Radius=14
Frame 0: X=155, Y=1404, Radius=15
Frame 0: X=69, Y=1414, Radius=29
Frame 0: X=1066, Y=1382, Radius=15
Frame 0: X=995, Y=1368, Radius=24
Frame 0: X=141, Y=1367, Radius=20
Frame 0: X=95, Y=1366, Radius=22
Frame 0: X=43, Y=1408, Radius=54
Frame 0: X=1047, Y=1384, Radius=54
Frame 0: X=1014, Y=1345, Radius=7
Frame 0: X=13, Y=1339, Radius=13
Frame 0: X=89, Y=1344, Radius=72
Frame 0: X=1052, Y=1346, Radius=34
Frame 0: X=986, Y=1328, Radius=11
Frame 0: X=1056, Y=1326, Radius=25
Frame 0: X=861, Y=1331, Radius=17
Frame 0: X=161, Y=1324, Radius=29
Frame 0: X=985, Y=1426, Radius=143
Frame 0: X=862, Y=1297, Radius=13
Frame 0: X=1038, Y=1310, Radius=35
Frame 0: X=322, Y=1263, Radius=29
Frame 0: X=1023, Y=1252, Radius=16
